"binomial","acc_name"
"Pacifastacus leniusculus","Pacifastacus leniusculus"
"Gasterosteus aculeatus","Gasterosteus aculeatus"
"Oncorhynchus clarkii","Oncorhynchus clarkii"
"Gila bicolor_mohavensis","Siphateles bicolor mohavensis"
"Cottus cognatus","Cottus cognatus"
"Plethodon glutinosus","Plethodon glutinosus"
"Rana virgatipes","Lithobates virgatipes"
"Ambystoma macrodactylum","Ambystoma macrodactylum"
"Litoria gracilenta","Ranoidea gracilenta"
"Linepithema humile","Linepithema humile"
"Gemma gemma","Gemma gemma"
"Desmognathus fuscus","Desmognathus fuscus"
"Eurycea bislineata","Eurycea bislineata"
"Hyla labialis","Dendropsophus molitor"
"Lithobates sylvaticus","Lithobates sylvaticus"
"Atrichum undulatum","Atrichum undulatum"
"Pseudacris triseriata","Pseudacris triseriata"
"Galaxias maculatus","Galaxias maculatus"
"Retropinna retropinna","Retropinna retropinna"
"Eurycea longicauda","Eurycea longicauda"
"Eurycea lucifuga","Eurycea lucifuga"
"Ambystoma maculatum","Ambystoma maculatum"
"Eurycea multiplicata","Eurycea multiplicata"
"Etheostoma cragini","Etheostoma cragini"
"Sphenomorphus incognitus","Sphenomorphus incognitus"
"Xantusia vigilis","Xantusia vigilis"
"Petrosaurus mearnsi","Petrosaurus mearnsi"
"Protobothrops mucrosquamatus","Protobothrops mucrosquamatus"
"Thamnophis elegans","Thamnophis elegans"
"Bufo boreas","Anaxyrus boreas"
"Rana pipiens","Lithobates pipiens"
"Poeciliopsis occidentalis","Poeciliopsis occidentalis"
"Spea hammondii","Spea hammondii"
"Hyla chloris","Ranoidea chloris"
"Hyla gracilenta","Ranoidea gracilenta"
"Hyla lesueuri","Ranoidea lesueurii"
"Hyla glauerti","Litoria fallax"
"Hyla rubella","Litoria rubella"
"Hyla rothi","Litoria rothii"
"Limnodynastes peroni","Limnodynastes peroni"
"Limnodynastes peronii","Limnodynastes peronii"
"Hyla caerulea","Ranoidea caerulea"
"Cyclorana brevipes","Ranoidea brevipes"
"Crinia signifera","Crinia signifera"
"Hyla ewingi","Litoria ewingii"
"Hyla peroni","Litoria peronii"
"Limnodynastes dorsalis","Limnodynastes dorsalis"
"Pseudophryne bibroni","Pseudophryne bibroni"
"Pseudophryne bibronii","Pseudophryne bibronii"
"Limnodynastes tasmaniensis","Limnodynastes tasmaniensis"
"Hyla aurea","Ranoidea aurea"
"Hyla phyllochroa","Ranoidea phyllochroa"
"Crinia victoriana","Geocrinia victoriana"
"Catostomus clarkii","Pantosteus clarkii"
"Gila intermedia","Gila intermedia"
"Rhinichthys cobitis","Rhinichthys cobitis"
"Xyrauchen texanus","Xyrauchen texanus"
"Anolis distichus","Anolis distichus"
"Anolis sagrei","Anolis sagrei"
"Rana clamitans","Lithobates clamitans"
"Ambystoma tigrinum","Ambystoma tigrinum"
"Anaxyrus fowleri","Anaxyrus fowleri"
"Lithobates palustris","Lithobates palustris"
"Lithobates pipiens","Lithobates pipiens"
"Rhinella marina","Rhinella marina"
"Scaphiopus holbrookii","Scaphiopus holbrookii"
"Anaxyrus americanus","Anaxyrus americanus"
"Anaxyrus woodhousii","Anaxyrus woodhousii"
"Eleutherodactylus cundalli","Eleutherodactylus cundalli"
"Eleutherodactylus gossei","Eleutherodactylus gossei"
"Eleutherodactylus johnstonei","Eleutherodactylus johnstonei"
"Eleutherodactylus planirostris","Eleutherodactylus planirostris"
"Gastrophryne carolinensis","Gastrophryne carolinensis"
"Hypsiboas faber","Boana faber"
"Physalaemus cuvieri","Physalaemus cuvieri"
"Pleurodema diplolister","Pleurodema diplolister"
"Pseudacris regilla","Pseudacris regilla"
"Rhinella icterica","Rhinella icterica"
"Hyla versicolor","Dryophytes versicolor"
"Lithobates virgatipes","Lithobates virgatipes"
"Rhinella granulosa","Rhinella granulosa"
"Acris crepitans","Acris crepitans"
"Anaxyrus terrestris","Anaxyrus terrestris"
"Desmognathus quadramaculatus","Desmognathus quadramaculatus"
"Notophthalmus viridescens","Notophthalmus viridescens"
"Ambystoma jeffersonianum","Ambystoma jeffersonianum"
"Ascaphus truei","Ascaphus truei"
"Buergeria japonica","Buergeria japonica"
"Dendropsophus labialis","Dendropsophus molitor"
"Eleutherodactylus portoricensis","Eleutherodactylus portoricensis"
"Lithobates berlandieri","Lithobates berlandieri"
"Litoria aurea","Ranoidea aurea"
"Litoria caerulea","Ranoidea caerulea"
"Litoria fallax","Litoria fallax"
"Litoria freycineti","Litoria freycineti"
"Litoria lesueuri","Ranoidea lesueurii"
"Litoria peronii","Litoria peronii"
"Litoria rubella","Litoria rubella"
"Mixophyes fasciolatus","Mixophyes fasciolatus"
"Neobatrachus pictus","Neobatrachus pictus"
"Pseudacris crucifer","Pseudacris crucifer"
"Rhyacotriton variegatus","Rhyacotriton variegatus"
"Xenopus laevis","Xenopus laevis"
"Necturus maculosus","Necturus maculosus"
"Anaxyrus boreas","Anaxyrus boreas"
"Anaxyrus canorus","Anaxyrus canorus"
"Anaxyrus cognatus","Anaxyrus cognatus"
"Anaxyrus compactilis","Anaxyrus compactilis"
"Anaxyrus debilis","Anaxyrus debilis"
"Anaxyrus exsul","Anaxyrus exsul"
"Anaxyrus nelsoni","Anaxyrus nelsoni"
"Cophixalus ornatus","Cophixalus ornatus"
"Crinia parinsignifera","Crinia parinsignifera"
"Cryptobranchus alleganiensis","Cryptobranchus alleganiensis"
"Desmognathus ochrophaeus","Desmognathus ochrophaeus"
"Geocrinia laevis","Geocrinia laevis"
"Geocrinia victoriana","Geocrinia victoriana"
"Hyla walkeri","Dryophytes walkeri"
"Incilius alvarius","Incilius alvarius"
"Incilius marmoreus","Incilius marmoreus"
"Incilius mazatlanensis","Incilius mazatlanensis"
"Leptodactylus melanonotus","Leptodactylus melanonotus"
"Lithobates palmipes","Lithobates palmipes"
"Litoria bicolor","Litoria bicolor"
"Litoria chloris","Ranoidea chloris"
"Litoria citropa","Ranoidea citropa"
"Litoria ewingii","Litoria ewingii"
"Litoria phyllochroa","Ranoidea phyllochroa"
"Litoria rothii","Litoria rothii"
"Litoria verreauxii","Litoria verreauxii"
"Pseudacris cadaverina","Pseudacris cadaverina"
"Pseudophryne corroboree","Pseudophryne corroboree"
"Rana boylii","Rana boylii"
"Rana cascadae","Rana cascadae"
"Rana chensinensis","Rana chensinensis"
"Rana pretiosa","Rana pretiosa"
"Rhaebo haematiticus","Rhaebo haematiticus"
"Smilisca fodiens","Smilisca fodiens"
"Smilisca baudinii","Smilisca baudinii"
"Tlalocohyla smithii","Tlalocohyla smithii"
"Odontophrynus occidentalis","Odontophrynus occidentalis"
"Plethodon cinereus","Plethodon cinereus"
"Plethodon jordani","Plethodon jordani"
"Triturus dobrogicus","Triturus dobrogicus"
"Hyperolius viridiflavus","Hyperolius viridiflavus"
"Achirus mazatlanus","Achirus mazatlanus"
"Ambassis ambassis","Ambassis ambassis"
"Anabas testudineus","Anabas testudineus"
"Leuresthes sardina","Leuresthes sardina"
"Lipophrys pholis","Lipophrys pholis"
"Lipophrys trigloides","Lipophrys trigloides"
"Bovichtus variegatus","Bovichtus variegatus"
"Pseudocaranx dentex","Pseudocaranx dentex"
"Carpiodes cyprinus","Carpiodes cyprinus"
"Catostomus commersonii","Catostomus commersonii"
"Catostomus latipinnis","Catostomus latipinnis"
"Catostomus occidentalis","Catostomus occidentalis"
"Catostomus platyrhynchus","Pantosteus platyrhynchus"
"Hypentelium nigricans","Hypentelium nigricans"
"Moxostoma robustum","Moxostoma robustum"
"Ambloplites rupestris","Ambloplites rupestris"
"Archoplites interruptus","Archoplites interruptus"
"Lepomis cyanellus","Lepomis cyanellus"
"Lepomis gibbosus","Lepomis gibbosus"
"Lepomis macrochirus","Lepomis macrochirus"
"Lepomis megalotis","Lepomis megalotis"
"Micropterus dolomieu","Micropterus dolomieu"
"Micropterus floridanus","Micropterus floridanus"
"Micropterus punctulatus","Micropterus punctulatus"
"Micropterus salmoides","Micropterus salmoides"
"Pomoxis annularis","Pomoxis annularis"
"Pomoxis nigromaculatus","Pomoxis nigromaculatus"
"Chelmon rostratus","Chelmon rostratus"
"Astyanax bimaculatus","Astyanax bimaculatus"
"Geophagus brasiliensis","Geophagus brasiliensis"
"Oreochromis mossambicus","Oreochromis mossambicus"
"Pseudocrenilabrus multicolor","Pseudocrenilabrus multicolor"
"Pterophyllum scalare","Pterophyllum scalare"
"Clarias gariepinus","Clarias gariepinus"
"Clupea pallasii","Clupea pallasii"
"Sardinops sagax","Sardinops sagax"
"Cottus bairdii","Cottus bairdii"
"Cottus paulus","Cottus paulus"
"Abramis brama","Abramis brama"
"Carassius auratus","Carassius auratus"
"Carassius carassius","Carassius carassius"
"Catla catla","Gibelion catla"
"Chrosomus eos","Chrosomus eos"
"Chrosomus erythrogaster","Chrosomus erythrogaster"
"Chrosomus neogaeus","Chrosomus neogaeus"
"Ctenopharyngodon idella","Ctenopharyngodon idella"
"Cyprinella lutrensis","Cyprinella lutrensis"
"Cyprinella spiloptera","Cyprinella spiloptera"
"Danio rerio","Danio rerio"
"Gobio gobio","Gobio gobio"
"Hesperoleucus symmetricus","Hesperoleucus symmetricus"
"Hypophthalmichthys molitrix","Hypophthalmichthys molitrix"
"Lepidomeda copei","Lepidomeda copei"
"Leuciscus idus","Leuciscus idus"
"Luxilus chrysocephalus","Luxilus chrysocephalus"
"Luxilus cornutus","Luxilus cornutus"
"Mylopharodon conocephalus","Mylopharodon conocephalus"
"Notemigonus crysoleucas","Notemigonus crysoleucas"
"Notropis hudsonius","Notropis hudsonius"
"Notropis stramineus","Notropis stramineus"
"Rhinichthys atratulus","Rhinichthys atratulus"
"Rutilus rutilus","Rutilus rutilus"
"Scardinius erythrophthalmus","Scardinius erythrophthalmus"
"Siphateles bicolor","Siphateles bicolor"
"Hysterocarpus traskii","Hysterocarpus traskii"
"Engraulis japonicus","Engraulis japonicus"
"Esox masquinongy","Esox masquinongy"
"Fundulus heteroclitus","Fundulus heteroclitus"
"Pomatoschistus minutus","Pomatoschistus minutus"
"Ameiurus catus","Ameiurus catus"
"Ameiurus melas","Ameiurus melas"
"Ameiurus natalis","Ameiurus natalis"
"Ameiurus nebulosus","Ameiurus nebulosus"
"Ictalurus punctatus","Ictalurus punctatus"
"Halichoeres nigrescens","Halichoeres nigrescens"
"Notolabrus celidotus","Notolabrus celidotus"
"Monacanthus chinensis","Monacanthus chinensis"
"Dicentrarchus labrax","Dicentrarchus labrax"
"Morone americana","Morone americana"
"Morone chrysops","Morone chrysops"
"Morone saxatilis","Morone saxatilis"
"Moolgarda engeli","Valamugil engeli"
"Mugil cephalus","Mugil cephalus"
"Barbatula barbatula","Barbatula barbatula"
"Lepidonotothen squamifrons","Lepidonotothen squamifrons"
"Hypomesus transpacificus","Hypomesus transpacificus"
"Osmerus mordax","Osmerus mordax"
"Paralichthys californicus","Paralichthys californicus"
"Etheostoma caeruleum","Etheostoma caeruleum"
"Etheostoma flabellare","Etheostoma flabellare"
"Etheostoma nigrum","Etheostoma nigrum"
"Etheostoma spectabile","Etheostoma spectabile"
"Sander canadensis","Sander canadensis"
"Sander lucioperca","Sander lucioperca"
"Sander vitreus","Sander vitreus"
"Acanthoclinus littoreus","Acanthoclinus littoreus"
"Plotosus lineatus","Plotosus lineatus"
"Gambusia affinis","Gambusia affinis"
"Poecilia sphenops","Poecilia sphenops"
"Xiphophorus maculatus","Xiphophorus maculatus"
"Xiphophorus variatus","Xiphophorus variatus"
"Abudefduf saxatilis","Abudefduf saxatilis"
"Dascyllus aruanus","Dascyllus aruanus"
"Premnas biaculeatus","Premnas biaculeatus"
"Prochilodus lineatus","Prochilodus lineatus"
"Coregonus artedi","Coregonus artedi"
"Coregonus hoyi","Coregonus hoyi"
"Coregonus widegreni","Coregonus widegreni"
"Oncorhynchus apache","Oncorhynchus apache"
"Oncorhynchus gilae","Oncorhynchus gilae"
"Oncorhynchus mykiss","Oncorhynchus mykiss"
"Scatophagus argus","Scatophagus argus"
"Epinephelus tauvina","Epinephelus tauvina"
"Pygocentrus nattereri","Pygocentrus nattereri"
"Siganus canaliculatus","Siganus canaliculatus"
"Pagrus major","Pagrus major"
"Stenotomus chrysops","Stenotomus chrysops"
"Sphoeroides annulatus","Sphoeroides annulatus"
"Fundulus parvipinnis","Fundulus parvipinnis"
"Salmo salar","Salmo salar"
"Alosa pseudoharengus","Alosa pseudoharengus"
"Myrmecocystus depilis","Myrmecocystus depilis"
"Gillichthys mirabilis","Gillichthys mirabilis"
"Podacarus auberti","Podacarus auberti"
"Halozetes belgicae","Halozetes belgicae"
"Halozetes fulvus","Halozetes fulvus"
"Halozetes marinus","Halozetes marinus"
"Halozetes marionensis","Halozetes marionensis"
"Dasyatis sabina","Dasyatis sabina"
"Myro kerguelenensis","Myro kerguelenensis"
"Prinerigone vagans","Prinerigone vagans"
"Mya arenaria","Mya arenaria"
"Mulinia lateralis","Mulinia lateralis"
"Pogonichthys macrolepidotus","Pogonichthys macrolepidotus"
"Anolis roquet","Anolis roquet"
"Takydromus formosanus","Takydromus formosanus"
"Takydromus stejnegeri","Takydromus stejnegeri"
"Sphenomorphus taiwanensis","Sphenomorphus taiwanensis"
"Eremias multiocellata","Eremias multiocellata"
"Calathus melanocephalus","Calathus melanocephalus"
"Trimeresurus gracilis","Trimeresurus gracilis"
"Trimeresurus stejnegeri","Trimeresurus stejnegeri"
"Anguilla australis","Anguilla australis"
"Zoarces viviparus","Zoarces viviparus"
"Eleutherodactylus coqui","Eleutherodactylus coqui"
"Agosia chrysogaster","Agosia chrysogaster"
"Cyprinodon macularius","Cyprinodon macularius"
"Gila elegans","Gila elegans"
"Gila robusta","Gila robusta"
"Meda fulgida","Meda fulgida"
"Limnodynastes salmini","Limnodynastes salmini"
"Philoria frosti","Philoria frosti"
"Acipenser brevirostrum","Acipenser brevirostrum"
"Albula vulpes","Albula vulpes"
"Ambassis kopsii","Ambassis kopsii"
"Apogon dovii","Apogon dovii"
"Craterocephalus stercusmuscarum","Craterocephalus stercusmuscarum"
"Leuresthes tenuis","Leuresthes tenuis"
"Horabagrus brachysoma","Horabagrus brachysoma"
"Hypsoblennius gilberti","Hypsoblennius gilberti"
"Corydoras ehrhardti","Corydoras ehrhardti"
"Seriola quinqueradiata","Seriola quinqueradiata"
"Trachurus japonicus","Trachurus japonicus"
"Lates calcarifer","Lates calcarifer"
"Astyanax lineatus","Astyanax lineatus"
"Bryconamericus thomasi","Bryconamericus thomasi"
"Gymnocharacinus bergii","Gymnocharacinus bergii"
"Bujurquina vittata","Bujurquina vittata"
"Etroplus suratensis","Etroplus suratensis"
"Dorosoma cepedianum","Dorosoma cepedianum"
"Dorosoma petenense","Dorosoma petenense"
"Clinocottus analis","Clinocottus analis"
"Cottus carolinae","Cottus carolinae"
"Cottus gobio","Cottus gobio"
"Oligocottus maculosus","Oligocottus maculosus"
"Alburnus chalcoides","Alburnus chalcoides"
"Barbus barbus","Barbus barbus"
"Barilius bendelisis","Barilius bendelisis"
"Campostoma anomalum","Campostoma anomalum"
"Cirrhinus mrigala","Cirrhinus mrigala"
"Clinostomus elongatus","Clinostomus elongatus"
"Couesius plumbeus","Couesius plumbeus"
"Cyprinion macrostomum","Cyprinion macrostomum"
"Cyprinus carpio","Cyprinus carpio"
"Danio dangila","Danio dangila"
"Dionda diaboli","Dionda diaboli"
"Hybognathus placitus","Hybognathus placitus"
"Hypophthalmichthys nobilis","Hypophthalmichthys nobilis"
"Labeo rohita","Labeo rohita"
"Lavinia exilicauda","Lavinia exilicauda"
"Lepidomeda mollispinis","Lepidomeda mollispinis"
"Neolissochilus hexagonolepis","Neolissochilus hexagonolepis"
"Notropis atherinoides","Notropis atherinoides"
"Notropis rubellus","Notropis rubellus"
"Notropis topeka","Notropis topeka"
"Orthodon microlepidotus","Orthodon microlepidotus"
"Parabramis pekinensis","Parabramis pekinensis"
"Pimephales notatus","Pimephales notatus"
"Pimephales promelas","Pimephales promelas"
"Plagopterus argentissimus","Plagopterus argentissimus"
"Ptychocheilus grandis","Ptychocheilus grandis"
"Rhinichthys osculus","Rhinichthys osculus"
"Schizothorax kozlovi","Schizothorax kozlovi"
"Semotilus atromaculatus","Semotilus atromaculatus"
"Tinca tinca","Tinca tinca"
"Tor putitora","Tor putitora"
"Cyprinodon bovinus","Cyprinodon bovinus"
"Cyprinodon dearborni","Cyprinodon dearborni"
"Cyprinodon nevadensis","Cyprinodon nevadensis"
"Cyprinodon rubrofluviatilis","Cyprinodon rubrofluviatilis"
"Cyprinodon salinus","Cyprinodon salinus"
"Cyprinodon variegatus","Cyprinodon variegatus"
"Taeniura lymma","Taeniura lymma"
"Gobiomorphus basalis","Gobiomorphus basalis"
"Gobiomorphus cotidianus","Gobiomorphus cotidianus"
"Hypseleotris galii","Hypseleotris galii"
"Esox lucius","Esox lucius"
"Fundulus diaphanus","Fundulus diaphanus"
"Fundulus notatus","Fundulus notatus"
"Fundulus zebrinus","Fundulus zebrinus"
"Microgadus tomcod","Microgadus tomcod"
"Gobiesox strumosus","Gobiesox strumosus"
"Tomicodon humeralis","Tomicodon humeralis"
"Bathygobius fuscus","Bathygobius fuscus"
"Bathygobius ramosus","Bathygobius ramosus"
"Gobiosoma chiquita","Gobiosoma chiquita"
"Gobius paganellus","Gobius paganellus"
"Quietula y","Quietula y"
"Tridentiger bifasciatus","Tridentiger bifasciatus"
"Haemulon flavolineatum","Haemulon flavolineatum"
"Heteropneustes fossilis","Heteropneustes fossilis"
"Kuhlia sandvicensis","Kuhlia sandvicensis"
"Lota lota","Lota lota"
"Lutjanus malabaricus","Lutjanus malabaricus"
"Lutjanus vitta","Lutjanus vitta"
"Melanotaenia splendida","Melanotaenia splendida"
"Rhinomugil corsula","Rhinomugil corsula"
"Gobionotothen gibberifrons","Gobionotothen gibberifrons"
"Notothenia angustata","Notothenia angustata"
"Notothenia coriiceps","Notothenia coriiceps"
"Pagothenia borchgrevinki","Pagothenia borchgrevinki"
"Trematomus bernacchii","Trematomus bernacchii"
"Trematomus hansoni","Trematomus hansoni"
"Perccottus glenii","Perccottus glenii"
"Pangasius pangasius","Pangasius pangasius"
"Paralichthys lethostigma","Paralichthys lethostigma"
"Etheostoma blennioides","Etheostoma blennioides"
"Perca flavescens","Perca flavescens"
"Perca fluviatilis","Perca fluviatilis"
"Belonesox belizanus","Belonesox belizanus"
"Heterandria formosa","Heterandria formosa"
"Limia melanonotata","Limia melanonotata"
"Poecilia reticulata","Poecilia reticulata"
"Coregonus clupeaformis","Coregonus clupeaformis"
"Coregonus nasus","Coregonus nasus"
"Oncorhynchus gorbuscha","Oncorhynchus gorbuscha"
"Oncorhynchus keta","Oncorhynchus keta"
"Oncorhynchus kisutch","Oncorhynchus kisutch"
"Oncorhynchus nerka","Oncorhynchus nerka"
"Oncorhynchus tshawytscha","Oncorhynchus tshawytscha"
"Salmo trutta","Salmo trutta"
"Salvelinus alpinus","Salvelinus alpinus"
"Salvelinus confluentus","Salvelinus confluentus"
"Salvelinus fontinalis","Salvelinus fontinalis"
"Salvelinus namaycush","Salvelinus namaycush"
"Thymallus arcticus","Thymallus arcticus"
"Thymallus thymallus","Thymallus thymallus"
"Aplodinotus grunniens","Aplodinotus grunniens"
"Cynoscion nebulosus","Cynoscion nebulosus"
"Leiostomus xanthurus","Leiostomus xanthurus"
"Sciaenops ocellatus","Sciaenops ocellatus"
"Epinephelus fuscoguttatus","Epinephelus fuscoguttatus"
"Rypticus nigripinnis","Rypticus nigripinnis"
"Sillago sihama","Sillago sihama"
"Silurus glanis","Silurus glanis"
"Silurus meridionalis","Silurus meridionalis"
"Acanthopagrus latus","Acanthopagrus latus"
"Diplodus vulgaris","Diplodus vulgaris"
"Terapon jarbua","Terapon jarbua"
"Terapon theraps","Terapon theraps"
"Cyprinodon sp.1","Cyprinodon sp.1"
"Chirodica chalcoptera","Chirodica chalcoptera"
"Glossina pallidipes","Glossina pallidipes"
"Galaxias fasciatus","Galaxias fasciatus"
"Takydromus hsuehshaner","Takydromus hsuehshaner"
"Eleutherodactylus portoricensus","Eleutherodactylus portoricensus"
"Crinia parainsignifera","Crinia parainsignifera"
"Hyla alpina","Hyla alpina"
"Palirhoeus eatoni","Palirhoeus eatoni"
"Metacarcinus magister","Metacarcinus magister"
"Cryptopygus antarcticustravei","Cryptopygus antarcticustravei"
"Tullbergia bisetosa","Tullbergia bisetosa"
"Lithobates catesbeiana","Lithobates catesbeiana"
"Oryzias melastigma","Oryzias melastigma"
"Ostorhinchus aureus","Ostorhinchus aureus"
"Ostorhinchus novemfasciatus","Ostorhinchus novemfasciatus"
"Pseudobagrus vachellii","Pseudobagrus vachellii"
"Scleromystax barbatus","Scleromystax barbatus"
"Cottus tallapoosae","Cottus tallapoosae"
"Spinibarbus sinensis","Spinibarbus sinensis"
"Squalius cephalus","Squalius cephalus"
"Chelon subviridis","Chelon subviridis"
"Ellochelon vaigiensis","Ellochelon vaigiensis"
"Gymnocephalus cernua","Gymnocephalus cernua"
"Coregonus maraenoides","Coregonus maraenoides"
